

ESTACIÓN: Ulla
CONCELLO: Santiso
PROVINCIA: A Coruña

CÓDIGOS DE VALIDACIÓN DOS DATOS:
0:  Dato sen control de calidade
1:  Dato correcto
2:  Dato probablente correcto
3:  Dato incorrecto susceptible de ser correxido
4:  Dato erróneo
5:  Non usado
6:  Non usado
7:  Non usado
8:  Non usado
9:  Dato non rexistrado


Nota: O valor -9999 indicará dato non rexistrado

Tipo de consulta: Variables diarias
Período:1/1/1990-17/07/2018


COD.VALIDACIÓN  DATA          PARÁMETRO (Unidades)                     VALOR
      1          08/10/2009    Nivel Medio da Auga (m)                   0,8
      1          09/10/2009    Nivel Medio da Auga (m)                   0,7
      1          10/10/2009    Nivel Medio da Auga (m)                   0,7
      1          11/10/2009    Nivel Medio da Auga (m)                   0,6
      1          12/10/2009    Nivel Medio da Auga (m)                   0,6
      1          13/10/2009    Nivel Medio da Auga (m)                   0,6
      1          14/10/2009    Nivel Medio da Auga (m)                   0,6
      1          15/10/2009    Nivel Medio da Auga (m)                   0,6
      1          16/10/2009    Nivel Medio da Auga (m)                   0,6
      1          17/10/2009    Nivel Medio da Auga (m)                   0,6
      1          18/10/2009    Nivel Medio da Auga (m)                   0,6
      1          19/10/2009    Nivel Medio da Auga (m)                   0,6
      1          20/10/2009    Nivel Medio da Auga (m)                   0,6
      1          21/10/2009    Nivel Medio da Auga (m)                   0,6
      1          22/10/2009    Nivel Medio da Auga (m)                   0,8
      1          23/10/2009    Nivel Medio da Auga (m)                   0,8
      1          24/10/2009    Nivel Medio da Auga (m)                   0,8
      1          25/10/2009    Nivel Medio da Auga (m)                   0,9
      1          26/10/2009    Nivel Medio da Auga (m)                   0,8
      1          27/10/2009    Nivel Medio da Auga (m)                   0,7
      1          28/10/2009    Nivel Medio da Auga (m)                   0,7
      1          29/10/2009    Nivel Medio da Auga (m)                   0,7
      1          30/10/2009    Nivel Medio da Auga (m)                   0,7
      1          31/10/2009    Nivel Medio da Auga (m)                   0,7
      1          01/11/2009    Nivel Medio da Auga (m)                   0,7
      1          02/11/2009    Nivel Medio da Auga (m)                   0,8
      1          03/11/2009    Nivel Medio da Auga (m)                   0,8
      1          04/11/2009    Nivel Medio da Auga (m)                   0,8
      1          05/11/2009    Nivel Medio da Auga (m)                   0,9
      1          06/11/2009    Nivel Medio da Auga (m)                   1,1
      1          07/11/2009    Nivel Medio da Auga (m)                   1
      1          08/11/2009    Nivel Medio da Auga (m)                   1
      1          09/11/2009    Nivel Medio da Auga (m)                   0,9
      1          10/11/2009    Nivel Medio da Auga (m)                   0,9
      1          11/11/2009    Nivel Medio da Auga (m)                   0,9
      1          12/11/2009    Nivel Medio da Auga (m)                   1,1
      1          13/11/2009    Nivel Medio da Auga (m)                   0,9
      1          14/11/2009    Nivel Medio da Auga (m)                   1,1
      1          15/11/2009    Nivel Medio da Auga (m)                   1,5
      1          16/11/2009    Nivel Medio da Auga (m)                   1,4
      1          17/11/2009    Nivel Medio da Auga (m)                   1,3
      1          18/11/2009    Nivel Medio da Auga (m)                   1,1
      1          19/11/2009    Nivel Medio da Auga (m)                   1
      1          20/11/2009    Nivel Medio da Auga (m)                   1
      1          21/11/2009    Nivel Medio da Auga (m)                   1
      1          22/11/2009    Nivel Medio da Auga (m)                   1
      1          23/11/2009    Nivel Medio da Auga (m)                   1
      1          24/11/2009    Nivel Medio da Auga (m)                   0,9
      1          25/11/2009    Nivel Medio da Auga (m)                   1
      1          26/11/2009    Nivel Medio da Auga (m)                   1
      1          27/11/2009    Nivel Medio da Auga (m)                   1
      1          28/11/2009    Nivel Medio da Auga (m)                   1
      1          29/11/2009    Nivel Medio da Auga (m)                   1,2
      1          30/11/2009    Nivel Medio da Auga (m)                   1,3
      1          01/12/2009    Nivel Medio da Auga (m)                   1,2
      1          02/12/2009    Nivel Medio da Auga (m)                   1,3
      1          03/12/2009    Nivel Medio da Auga (m)                   1,3
      9          04/12/2009    Nivel Medio da Auga (m)                   -9999
      9          05/12/2009    Nivel Medio da Auga (m)                   -9999
      9          06/12/2009    Nivel Medio da Auga (m)                   -9999
      9          07/12/2009    Nivel Medio da Auga (m)                   -9999
      9          08/12/2009    Nivel Medio da Auga (m)                   -9999
      9          09/12/2009    Nivel Medio da Auga (m)                   -9999
      1          10/12/2009    Nivel Medio da Auga (m)                   1,2
      1          11/12/2009    Nivel Medio da Auga (m)                   1,1
      1          12/12/2009    Nivel Medio da Auga (m)                   1,1
      1          13/12/2009    Nivel Medio da Auga (m)                   1,1
      1          14/12/2009    Nivel Medio da Auga (m)                   1
      1          15/12/2009    Nivel Medio da Auga (m)                   1
      1          16/12/2009    Nivel Medio da Auga (m)                   1
      1          17/12/2009    Nivel Medio da Auga (m)                   1,8
      1          18/12/2009    Nivel Medio da Auga (m)                   1,2
      1          19/12/2009    Nivel Medio da Auga (m)                   1,1
      1          20/12/2009    Nivel Medio da Auga (m)                   1,1
      1          21/12/2009    Nivel Medio da Auga (m)                   1,3
      1          22/12/2009    Nivel Medio da Auga (m)                   1,5
      1          23/12/2009    Nivel Medio da Auga (m)                   1,2
      1          24/12/2009    Nivel Medio da Auga (m)                   1,5
      1          25/12/2009    Nivel Medio da Auga (m)                   1,3
      1          26/12/2009    Nivel Medio da Auga (m)                   1,2
      1          27/12/2009    Nivel Medio da Auga (m)                   1,2
      1          28/12/2009    Nivel Medio da Auga (m)                   1,5
      1          29/12/2009    Nivel Medio da Auga (m)                   1,5
      1          30/12/2009    Nivel Medio da Auga (m)                   1,5
      1          31/12/2009    Nivel Medio da Auga (m)                   1,5
      1          01/01/2010    Nivel Medio da Auga (m)                   1,9
      1          02/01/2010    Nivel Medio da Auga (m)                   1,5
      1          03/01/2010    Nivel Medio da Auga (m)                   1,6
      1          04/01/2010    Nivel Medio da Auga (m)                   1,4
      1          05/01/2010    Nivel Medio da Auga (m)                   1,3
      1          06/01/2010    Nivel Medio da Auga (m)                   1,2
      1          07/01/2010    Nivel Medio da Auga (m)                   1,2
      1          08/01/2010    Nivel Medio da Auga (m)                   1,2
      1          09/01/2010    Nivel Medio da Auga (m)                   1,1
      1          10/01/2010    Nivel Medio da Auga (m)                   1,1
      1          11/01/2010    Nivel Medio da Auga (m)                   1,1
      1          12/01/2010    Nivel Medio da Auga (m)                   1,5
      1          13/01/2010    Nivel Medio da Auga (m)                   1,8
      1          14/01/2010    Nivel Medio da Auga (m)                   2,3
      1          15/01/2010    Nivel Medio da Auga (m)                   1,5
      1          16/01/2010    Nivel Medio da Auga (m)                   1,6
      1          17/01/2010    Nivel Medio da Auga (m)                   1,5
      1          18/01/2010    Nivel Medio da Auga (m)                   1,3
      1          19/01/2010    Nivel Medio da Auga (m)                   1,2
      1          20/01/2010    Nivel Medio da Auga (m)                   1,2
      1          21/01/2010    Nivel Medio da Auga (m)                   1,2
      1          22/01/2010    Nivel Medio da Auga (m)                   1,2
      1          23/01/2010    Nivel Medio da Auga (m)                   1,2
      1          24/01/2010    Nivel Medio da Auga (m)                   1,1
      1          25/01/2010    Nivel Medio da Auga (m)                   1,1
      1          26/01/2010    Nivel Medio da Auga (m)                   1
      1          27/01/2010    Nivel Medio da Auga (m)                   1
      1          28/01/2010    Nivel Medio da Auga (m)                   1
      1          29/01/2010    Nivel Medio da Auga (m)                   1
      1          30/01/2010    Nivel Medio da Auga (m)                   1
      1          31/01/2010    Nivel Medio da Auga (m)                   1
      1          01/02/2010    Nivel Medio da Auga (m)                   1
      1          02/02/2010    Nivel Medio da Auga (m)                   0,9
      1          03/02/2010    Nivel Medio da Auga (m)                   0,9
      1          04/02/2010    Nivel Medio da Auga (m)                   0,9
      1          05/02/2010    Nivel Medio da Auga (m)                   1,1
      1          06/02/2010    Nivel Medio da Auga (m)                   1
      1          07/02/2010    Nivel Medio da Auga (m)                   1
      1          08/02/2010    Nivel Medio da Auga (m)                   1
      1          09/02/2010    Nivel Medio da Auga (m)                   1
      1          10/02/2010    Nivel Medio da Auga (m)                   0,9
      1          11/02/2010    Nivel Medio da Auga (m)                   0,8
      1          12/02/2010    Nivel Medio da Auga (m)                   0,8
      1          13/02/2010    Nivel Medio da Auga (m)                   0,8
      1          14/02/2010    Nivel Medio da Auga (m)                   0,9
      1          15/02/2010    Nivel Medio da Auga (m)                   0,9
      1          16/02/2010    Nivel Medio da Auga (m)                   0,9
      1          17/02/2010    Nivel Medio da Auga (m)                   0,9
      1          18/02/2010    Nivel Medio da Auga (m)                   0,9
      1          19/02/2010    Nivel Medio da Auga (m)                   0,9
      1          20/02/2010    Nivel Medio da Auga (m)                   0,9
      1          21/02/2010    Nivel Medio da Auga (m)                   0,9
      1          22/02/2010    Nivel Medio da Auga (m)                   1
      1          23/02/2010    Nivel Medio da Auga (m)                   1,2
      1          24/02/2010    Nivel Medio da Auga (m)                   1,7
      1          25/02/2010    Nivel Medio da Auga (m)                   2,8
      1          26/02/2010    Nivel Medio da Auga (m)                   1,5
      1          27/02/2010    Nivel Medio da Auga (m)                   1,7
      1          28/02/2010    Nivel Medio da Auga (m)                   1,9
      1          01/03/2010    Nivel Medio da Auga (m)                   1,6
      1          02/03/2010    Nivel Medio da Auga (m)                   1,4
      1          03/03/2010    Nivel Medio da Auga (m)                   1,3
      1          04/03/2010    Nivel Medio da Auga (m)                   1,3
      1          05/03/2010    Nivel Medio da Auga (m)                   1,2
      1          06/03/2010    Nivel Medio da Auga (m)                   1,2
      1          07/03/2010    Nivel Medio da Auga (m)                   1,2
      1          08/03/2010    Nivel Medio da Auga (m)                   1,1
