"Instante lectura,""Presión"""
"2013-03-16 00:00:00.0,""892.8"""
"2013-03-17 00:00:00.0,""888.8"""
"2013-03-18 00:00:00.0,""893.1"""
"2013-03-19 00:00:00.0,""890.3"""
"2013-03-20 00:00:00.0,""898.4"""
"2013-03-21 00:00:00.0,""894.6"""
"2013-03-22 00:00:00.0,""889.3"""
"2013-03-23 00:00:00.0,""887.4"""
"2013-03-24 00:00:00.0,""890.8"""
"2013-03-25 00:00:00.0,""892.4"""
"2013-03-26 00:00:00.0,""890.3"""
"2013-03-27 00:00:00.0,""888.6"""
"2013-03-28 00:00:00.0,""893.7"""
"2013-03-29 00:00:00.0,""893.6"""
"2013-03-30 00:00:00.0,""899.1"""
"2013-03-31 00:00:00.0,""890.3"""
"2013-04-01 00:00:00.0,""890.3"""
"2013-04-02 00:00:00.0,""894.6"""
"2013-04-03 00:00:00.0,""888.0"""
"2013-04-04 00:00:00.0,""890.1"""
"2013-04-05 00:00:00.0,""899.4"""
"2013-04-06 00:00:00.0,""906.5"""
"2013-04-07 00:00:00.0,""901.0"""
"2013-04-08 00:00:00.0,""896.0"""
"2013-04-09 00:00:00.0,""897.7"""
"2013-04-10 00:00:00.0,""898.5"""
"2013-04-11 00:00:00.0,""896.9"""
"2013-04-12 00:00:00.0,""900.9"""
"2013-04-13 00:00:00.0,""904.1"""
"2013-04-14 00:00:00.0,""904.6"""
"2013-04-15 00:00:00.0,""908.3"""
"2013-04-16 00:00:00.0,""908.8"""
"2013-04-17 00:00:00.0,""907.9"""
"2013-04-18 00:00:00.0,""910.9"""
"2013-04-19 00:00:00.0,""910.9"""
"2013-04-20 00:00:00.0,""908.8"""
"2013-04-21 00:00:00.0,""906.8"""
"2013-04-22 00:00:00.0,""907.3"""
"2013-04-23 00:00:00.0,""906.8"""
"2013-04-24 00:00:00.0,""908.0"""
"2013-04-25 00:00:00.0,""907.3"""
"2013-04-26 00:00:00.0,""904.8"""
"2013-04-27 00:00:00.0,""900.9"""
"2013-04-28 00:00:00.0,""901.7"""
"2013-04-29 00:00:00.0,""900.4"""
"2013-04-30 00:00:00.0,""901.3"""
"2013-05-01 00:00:00.0,""904.6"""
"2013-05-02 00:00:00.0,""906.2"""
"2013-05-03 00:00:00.0,""906.2"""
"2013-05-04 00:00:00.0,""907.2"""
"2013-05-05 00:00:00.0,""907.8"""
